남은 시간,학습 진도율,구분,가중치,우선순위 점수
111,227,23,교양,1.0,7.7044
112,301,15,전공,1.5,12.755
113,154,15,교양,1.0,8.5065
114,105,37,교양,1.0,6.3095
115,125,48,일반,0.5,2.604
116,98,40,교양,1.0,6.0102
117,79,49,일반,0.5,2.5563
118,171,42,전공,1.5,8.7088
119,51,83,교양,1.0,1.7196
120,19,23,교양,1.0,7.7526
121,320,42,일반,0.5,2.9016
122,333,28,전공,1.5,10.8045
123,146,67,교양,1.0,3.3068
124,277,33,교양,1.0,6.7036
125,269,88,전공,1.5,1.8056
126,52,37,전공,1.5,9.4788
127,88,52,전공,1.5,7.217
128,175,59,교양,1.0,4.1057
129,207,84,교양,1.0,1.6048
130,314,48,일반,0.5,2.6016
131,288,51,일반,0.5,2.4517
132,92,53,전공,1.5,7.0663
133,265,90,교양,1.0,1.0038
134,156,65,일반,0.5,1.7532
135,115,63,교양,1.0,3.7087
136,29,11,전공,1.5,13.4017
137,211,15,전공,1.5,12.7571
138,276,83,일반,0.5,0.8518
139,116,61,전공,1.5,5.8629
140,293,93,교양,1.0,0.7034
141,71,12,전공,1.5,13.2211
142,6,43,교양,1.0,5.8664
143,193,23,전공,1.5,11.5578
144,241,75,교양,1.0,2.5041
145,211,5,교양,1.0,9.5047
146,41,39,일반,0.5,3.0622
147,316,88,전공,1.5,1.8047
148,93,91,교양,1.0,0.9108
149,210,66,교양,1.0,3.4048
150,188,85,전공,1.5,2.258
151,126,76,교양,1.0,2.4079
152,54,86,일반,0.5,0.7093
153,258,38,교양,1.0,6.2039
154,321,95,일반,0.5,0.2516
155,204,24,교양,1.0,7.6049
156,49,37,일반,0.5,3.1602
157,22,24,일반,0.5,3.8227
158,172,68,전공,1.5,4.8087
159,19,39,일반,0.5,3.0763
160,61,0,일반,0.5,5.0082
161,288,53,일반,0.5,2.3517
162,185,67,전공,1.5,4.9581
163,238,2,전공,1.5,14.7063
164,48,97,교양,1.0,0.3208
165,62,29,교양,1.0,7.1161
166,202,1,교양,1.0,9.905
167,249,27,일반,0.5,3.652
168,170,24,교양,1.0,7.6059
169,236,36,전공,1.5,9.6064
170,68,45,일반,0.5,2.7574
171,289,40,전공,1.5,9.0052
172,104,10,교양,1.0,9.0096
173,68,26,일반,0.5,3.7074
174,26,17,일반,0.5,4.1692
175,293,21,전공,1.5,11.8551
176,90,68,전공,1.5,4.8167
177,251,53,교양,1.0,4.704
178,42,37,전공,1.5,9.4857
179,51,32,전공,1.5,10.2294
180,248,19,전공,1.5,12.156
181,99,43,교양,1.0,5.7101
182,226,62,교양,1.0,3.8044
183,152,37,전공,1.5,9.4599
184,195,61,전공,1.5,5.8577
185,80,27,전공,1.5,10.9687
186,179,85,전공,1.5,2.2584
187,128,26,전공,1.5,11.1117
188,46,100,전공,1.5,0.0326
189,48,40,일반,0.5,3.0104
190,42,59,일반,0.5,2.0619
191,326,67,교양,1.0,3.3031
192,135,46,교양,1.0,5.4074
193,318,45,일반,0.5,2.7516
194,188,32,전공,1.5,10.208
195,1,79,전공,1.5,4.6351
196,275,24,교양,1.0,7.6036
197,85,59,일반,0.5,2.0559
198,333,89,전공,1.5,1.6545
199,88,90,일반,0.5,0.5057
200,181,28,교양,1.0,7.2055
201,39,30,교양,1.0,7.0256
202,116,67,교양,1.0,3.3086
203,113,47,일반,0.5,2.6544
204,79,95,교양,1.0,0.5127
205,103,82,일반,0.5,0.9049
206,177,89,전공,1.5,1.6585
207,192,87,전공,1.5,1.9578
208,256,21,전공,1.5,11.8559
209,88,4,교양,1.0,9.6114
210,96,4,교양,1.0,9.6104
211,319,98,교양,1.0,0.2031
212,136,94,전공,1.5,0.911
213,331,56,일반,0.5,2.2015
214,153,29,일반,0.5,3.5533
215,219,36,일반,0.5,3.2023
216,111,49,교양,1.0,5.109
217,57,95,전공,1.5,0.7763
218,77,9,일반,0.5,4.5565
219,71,27,교양,1.0,7.3141
220,303,5,일반,0.5,4.7517
221,130,17,일반,0.5,4.1538
222,8,89,일반,0.5,0.6124
223,145,64,교양,1.0,3.6069
224,330,18,전공,1.5,12.3045
225,170,28,전공,1.5,10.8088
226,187,73,교양,1.0,2.7053
227,114,79,교양,1.0,2.1088
228,41,48,일반,0.5,2.6122
229,246,81,전공,1.5,2.8561
230,325,22,일반,0.5,3.9015
231,234,27,일반,0.5,3.6521
232,14,55,교양,1.0,4.5714
233,80,97,전공,1.5,0.4687
234,56,1,교양,1.0,9.9179
235,98,99,교양,1.0,0.1102
236,75,91,전공,1.5,1.37
237,127,87,전공,1.5,1.9618
238,197,84,일반,0.5,0.8025
239,177,24,일반,0.5,3.8028
240,326,34,전공,1.5,9.9046
241,277,33,전공,1.5,10.0554
242,170,13,교양,1.0,8.7059
243,138,26,전공,1.5,11.1109
244,95,63,전공,1.5,5.5658
245,39,17,일반,0.5,4.1628
246,155,67,교양,1.0,3.3065
247,24,8,교양,1.0,9.2416
248,308,84,전공,1.5,2.4049
249,122,96,일반,0.5,0.2041
250,317,77,전공,1.5,3.4547
251,180,99,일반,0.5,0.0528
252,11,69,교양,1.0,3.1908
253,214,86,교양,1.0,1.4047
254,270,50,교양,1.0,5.0037
255,277,80,교양,1.0,2.0036
256,245,2,전공,1.5,14.7061
257,28,80,일반,0.5,1.0179
258,18,4,전공,1.5,14.4833
259,331,37,교양,1.0,6.303
260,29,83,일반,0.5,0.8672
261,334,8,교양,1.0,9.203
262,28,3,교양,1.0,9.7357
263,318,68,교양,1.0,3.2031
264,96,17,전공,1.5,12.4656
265,112,63,교양,1.0,3.7089
266,96,27,전공,1.5,10.9656
267,313,15,일반,0.5,4.2516
268,154,29,전공,1.5,10.6597
269,133,53,교양,1.0,4.7075
270,226,27,교양,1.0,7.3044
271,84,24,전공,1.5,11.4179
272,108,91,교양,1.0,0.9093
273,237,45,전공,1.5,8.2563
274,35,56,전공,1.5,6.6428
275,8,21,전공,1.5,12.0373
276,108,66,교양,1.0,3.4093
277,152,51,일반,0.5,2.4533
278,133,43,일반,0.5,2.8538
279,309,53,일반,0.5,2.3516
280,104,77,일반,0.5,1.1548
281,332,62,전공,1.5,5.7045
282,280,39,일반,0.5,3.0518
283,94,24,일반,0.5,3.8053
284,73,24,전공,1.5,11.4205
285,125,5,일반,0.5,4.754
286,276,42,교양,1.0,5.8036
287,292,80,전공,1.5,3.0051
288,115,34,전공,1.5,9.913
289,37,74,전공,1.5,3.9405
290,257,69,교양,1.0,3.1039
291,73,80,전공,1.5,3.0205
292,127,68,전공,1.5,4.8118
293,114,100,일반,0.5,0.0044
294,153,71,교양,1.0,2.9065
295,309,9,일반,0.5,4.5516
296,184,73,전공,1.5,4.0582
297,281,12,전공,1.5,13.2053
298,108,40,교양,1.0,6.0093
299,333,33,교양,1.0,6.703
300,259,31,전공,1.5,10.3558
301,86,16,전공,1.5,12.6174
302,248,33,전공,1.5,10.056
303,178,29,전공,1.5,10.6584
304,187,60,교양,1.0,4.0053
305,96,2,교양,1.0,9.8104
306,137,36,전공,1.5,9.6109
307,181,75,일반,0.5,1.2528
308,73,67,교양,1.0,3.3137
309,326,78,일반,0.5,1.1015
310,31,36,일반,0.5,3.2161
311,195,94,교양,1.0,0.6051
312,254,71,일반,0.5,1.452
313,61,80,일반,0.5,1.0082
314,319,22,전공,1.5,11.7047
315,1,55,일반,0.5,2.745
316,204,78,일반,0.5,1.1025
317,5,50,교양,1.0,5.1996
318,309,26,교양,1.0,7.4032
319,227,18,일반,0.5,4.1022
320,180,99,전공,1.5,0.1583
321,252,62,교양,1.0,3.804
322,188,94,전공,1.5,0.908
323,38,51,교양,1.0,4.9263
324,336,43,교양,1.0,5.703
325,314,36,일반,0.5,3.2016
326,330,4,전공,1.5,14.4045
327,118,35,교양,1.0,6.5085
328,146,41,교양,1.0,5.9068
329,1,56,전공,1.5,8.0851
330,3,47,교양,1.0,5.6322
331,135,64,전공,1.5,5.4111
332,109,81,일반,0.5,0.9546
333,160,85,일반,0.5,0.7531
334,118,16,전공,1.5,12.6127
335,199,56,일반,0.5,2.2025
336,153,3,교양,1.0,9.7065
337,244,64,일반,0.5,1.802
338,142,43,전공,1.5,8.5606
339,303,25,교양,1.0,7.5033
340,286,32,교양,1.0,6.8035
341,251,49,일반,0.5,2.552
342,223,49,전공,1.5,7.6567
343,83,20,일반,0.5,4.006
344,318,74,교양,1.0,2.6031
345,272,57,전공,1.5,6.4555
346,315,49,일반,0.5,2.5516
347,131,28,전공,1.5,10.8114
348,274,53,전공,1.5,7.0555
349,145,66,일반,0.5,1.7034
350,104,22,일반,0.5,3.9048
351,304,89,일반,0.5,0.5516
352,80,36,교양,1.0,6.4125
353,29,98,교양,1.0,0.2345
354,46,56,교양,1.0,4.4217
355,66,91,교양,1.0,0.9151
356,279,6,전공,1.5,14.1054
357,151,23,전공,1.5,11.5599
358,129,94,전공,1.5,0.9116
359,189,79,전공,1.5,3.1579
360,231,41,교양,1.0,5.9043
361,49,45,교양,1.0,5.5204
362,321,61,전공,1.5,5.8547
363,182,45,전공,1.5,8.2582
364,199,28,교양,1.0,7.205
365,309,65,일반,0.5,1.7516
366,152,28,교양,1.0,7.2066
367,23,47,교양,1.0,5.3435
368,65,36,일반,0.5,3.2077
369,8,51,교양,1.0,5.0248
370,2,98,교양,1.0,0.6975
371,123,34,교양,1.0,6.6081
372,218,45,교양,1.0,5.5046
373,237,55,일반,0.5,2.2521
374,252,44,전공,1.5,8.406
375,228,72,전공,1.5,4.2066
376,119,20,교양,1.0,8.0084
377,266,63,일반,0.5,1.8519
378,148,44,전공,1.5,8.4101
379,207,31,교양,1.0,6.9048
380,228,0,전공,1.5,15.0066
381,197,20,일반,0.5,4.0025
382,287,93,일반,0.5,0.3517
383,65,2,일반,0.5,4.9077
384,99,46,일반,0.5,2.705
385,287,10,전공,1.5,13.5052
386,326,32,전공,1.5,10.2046
387,202,29,전공,1.5,10.6574
388,188,93,교양,1.0,0.7053
389,111,11,일반,0.5,4.4545
390,101,53,교양,1.0,4.7099
391,118,91,일반,0.5,0.4542
392,335,53,전공,1.5,7.0545
393,216,79,일반,0.5,1.0523
394,326,36,교양,1.0,6.4031
395,237,54,일반,0.5,2.3021
396,326,39,교양,1.0,6.1031
397,155,56,일반,0.5,2.2032
398,299,38,전공,1.5,9.305
399,287,40,일반,0.5,3.0017
400,161,52,전공,1.5,7.2093
401,314,54,일반,0.5,2.3016
402,172,84,일반,0.5,0.8029
403,110,21,교양,1.0,7.9091
404,310,37,교양,1.0,6.3032
405,94,56,전공,1.5,6.616
406,296,55,일반,0.5,2.2517
407,284,14,일반,0.5,4.3018
408,307,11,전공,1.5,13.3549
409,204,14,전공,1.5,12.9074
410,200,23,일반,0.5,3.8525
411,3,87,일반,0.5,0.8161
412,188,93,전공,1.5,1.058
413,86,2,일반,0.5,4.9058
414,185,73,일반,0.5,1.3527
415,223,72,일반,0.5,1.4022
416,210,10,교양,1.0,9.0048
417,30,49,전공,1.5,7.7
418,27,83,교양,1.0,1.737
419,148,18,일반,0.5,4.1034
420,59,69,일반,0.5,1.5585
421,48,26,전공,1.5,11.1312
422,296,4,교양,1.0,9.6034
423,45,64,교양,1.0,3.6222
424,199,69,전공,1.5,4.6575
425,286,62,교양,1.0,3.8035
426,158,13,교양,1.0,8.7063
427,202,18,전공,1.5,12.3074
428,26,38,전공,1.5,9.3577
429,294,43,전공,1.5,8.5551
430,145,88,전공,1.5,1.8103
431,213,55,전공,1.5,6.757
432,157,13,교양,1.0,8.7064
433,188,68,일반,0.5,1.6027
434,275,62,교양,1.0,3.8036
435,255,59,교양,1.0,4.1039
436,41,82,일반,0.5,0.9122
437,113,7,전공,1.5,13.9633
438,281,7,전공,1.5,13.9553
439,76,93,전공,1.5,1.0697
440,262,71,전공,1.5,4.3557
441,73,68,교양,1.0,3.2137
442,155,37,일반,0.5,3.1532
443,311,75,교양,1.0,2.5032
444,157,23,전공,1.5,11.5596
445,184,92,일반,0.5,0.4027
446,172,49,일반,0.5,2.5529
447,264,16,일반,0.5,4.2019
448,269,88,교양,1.0,1.2037
449,85,86,일반,0.5,0.7059
450,38,80,일반,0.5,1.0132
451,271,45,전공,1.5,8.2555
452,148,94,전공,1.5,0.9101
453,259,36,교양,1.0,6.4039
454,275,36,일반,0.5,3.2018
455,100,42,전공,1.5,8.715
456,49,24,교양,1.0,7.6204
457,314,40,전공,1.5,9.0048
458,121,49,교양,1.0,5.1083
459,209,37,전공,1.5,9.4572
460,58,7,교양,1.0,9.3172
461,99,73,교양,1.0,2.7101
462,290,90,일반,0.5,0.5017
463,146,75,교양,1.0,2.5068
464,94,92,전공,1.5,1.216
465,328,34,전공,1.5,9.9046
466,2,86,일반,0.5,0.9488
467,101,96,일반,0.5,0.205
468,152,62,전공,1.5,5.7099
469,67,35,교양,1.0,6.5149
470,251,91,전공,1.5,1.356
471,208,87,교양,1.0,1.3048
472,171,99,전공,1.5,0.1588
473,324,91,교양,1.0,0.9031
474,79,20,교양,1.0,8.0127
475,269,71,교양,1.0,2.9037
476,122,21,전공,1.5,11.8623
477,41,62,전공,1.5,5.7366
478,201,84,교양,1.0,1.605
479,62,96,일반,0.5,0.2081
480,21,99,교양,1.0,0.1476
481,278,90,교양,1.0,1.0036
482,253,41,일반,0.5,2.952
483,193,88,일반,0.5,0.6026
484,154,50,전공,1.5,7.5097
485,106,31,전공,1.5,10.3641
486,157,86,전공,1.5,2.1096
487,31,74,전공,1.5,3.9484
488,255,3,전공,1.5,14.5559
489,159,89,일반,0.5,0.5531
490,36,51,일반,0.5,2.4639
491,328,59,전공,1.5,6.1546
492,3,30,일반,0.5,3.6661
493,277,2,일반,0.5,4.9018
494,225,26,교양,1.0,7.4044
495,1,64,교양,1.0,4.5901
496,305,8,전공,1.5,13.8049
497,185,59,교양,1.0,4.1054
498,16,72,교양,1.0,2.8625
499,220,86,교양,1.0,1.4045
500,327,3,일반,0.5,4.8515
501,183,6,일반,0.5,4.7027
502,188,69,전공,1.5,4.658
503,290,85,교양,1.0,1.5034
504,28,43,전공,1.5,8.6036
505,188,49,일반,0.5,2.5527
506,193,46,전공,1.5,8.1078
507,37,88,전공,1.5,1.8405
508,103,13,일반,0.5,4.3549
509,323,34,교양,1.0,6.6031
510,228,67,교양,1.0,3.3044
511,206,67,일반,0.5,1.6524
512,74,25,교양,1.0,7.5135
513,311,53,전공,1.5,7.0548
514,121,88,교양,1.0,1.2083
515,247,37,일반,0.5,3.152
516,325,3,일반,0.5,4.8515
517,252,77,전공,1.5,3.456
518,336,98,교양,1.0,0.203
519,276,11,교양,1.0,8.9036
520,2,82,교양,1.0,2.2975
521,17,98,교양,1.0,0.2588
522,207,92,일반,0.5,0.4024
523,128,89,일반,0.5,0.5539
524,194,2,일반,0.5,4.9026
525,254,40,교양,1.0,6.0039
526,59,8,일반,0.5,4.6085
527,7,29,일반,0.5,3.6213
528,134,12,전공,1.5,13.2112
529,268,50,전공,1.5,7.5056
530,230,26,전공,1.5,11.1065
531,210,66,일반,0.5,1.7024
532,48,20,교양,1.0,8.0208
533,101,56,일반,0.5,2.205
534,122,77,전공,1.5,3.4623
535,89,89,전공,1.5,1.6669
536,234,7,교양,1.0,9.3043
537,218,78,일반,0.5,1.1023
538,202,9,일반,0.5,4.5525
539,240,4,교양,1.0,9.6042
540,157,10,전공,1.5,13.5096
541,109,77,전공,1.5,3.4638
542,16,55,전공,1.5,6.8437
543,230,84,전공,1.5,2.4065
544,169,62,일반,0.5,1.903
545,296,32,교양,1.0,6.8034
546,138,81,일반,0.5,0.9536
547,48,42,전공,1.5,8.7312
548,125,27,전공,1.5,10.962
549,198,42,교양,1.0,5.8051
550,186,86,교양,1.0,1.4054
551,98,41,일반,0.5,2.9551
552,2,4,일반,0.5,5.0488
553,70,10,교양,1.0,9.0143
554,294,80,교양,1.0,2.0034
555,218,72,전공,1.5,4.2069
556,20,67,전공,1.5,5.025
557,242,63,교양,1.0,3.7041
558,112,9,일반,0.5,4.5545
559,197,64,교양,1.0,3.6051
560,44,24,일반,0.5,3.8114
561,104,97,전공,1.5,0.4644
562,241,47,일반,0.5,2.6521
563,101,49,일반,0.5,2.555
564,164,27,전공,1.5,10.9591
565,251,81,일반,0.5,0.952
566,241,16,교양,1.0,8.4041
567,228,62,전공,1.5,5.7066
568,135,17,전공,1.5,12.4611
569,93,86,교양,1.0,1.4108
570,9,90,전공,1.5,1.6665
571,241,55,일반,0.5,2.2521
572,166,28,전공,1.5,10.809
573,145,29,전공,1.5,10.6603
574,19,52,일반,0.5,2.4263
575,10,93,교양,1.0,0.7999
576,165,2,일반,0.5,4.903
577,20,45,교양,1.0,5.55
578,280,28,교양,1.0,7.2036
579,128,53,전공,1.5,7.0617
580,212,83,교양,1.0,1.7047
581,263,51,전공,1.5,7.3557
582,47,90,교양,1.0,1.0213
583,104,82,전공,1.5,2.7144
584,214,100,일반,0.5,0.0023
585,1,21,교양,1.0,8.8901
586,67,95,교양,1.0,0.5149
587,76,5,일반,0.5,4.7566
588,303,35,일반,0.5,3.2517
589,322,70,전공,1.5,4.5047
590,235,74,일반,0.5,1.3021
591,149,79,일반,0.5,1.0534
592,229,45,일반,0.5,2.7522
593,56,38,일반,0.5,3.1089
594,269,31,일반,0.5,3.4519
595,113,15,전공,1.5,12.7633
596,293,49,일반,0.5,2.5517
597,210,80,교양,1.0,2.0048
598,232,1,교양,1.0,9.9043
599,52,47,교양,1.0,5.3192
600,270,75,교양,1.0,2.5037
601,309,71,일반,0.5,1.4516
602,65,10,전공,1.5,13.5231
603,259,75,교양,1.0,2.5039
604,296,94,전공,1.5,0.9051
605,133,26,전공,1.5,11.1113
606,37,1,일반,0.5,4.9635
607,236,45,일반,0.5,2.7521
608,250,73,전공,1.5,4.056
609,194,16,교양,1.0,8.4052
610,135,8,일반,0.5,4.6037
611,9,27,일반,0.5,3.7055
612,257,14,전공,1.5,12.9058
613,53,60,일반,0.5,2.0094
614,42,91,전공,1.5,1.3857
615,269,33,교양,1.0,6.7037
616,174,41,일반,0.5,2.9529
617,168,58,일반,0.5,2.103
618,97,1,일반,0.5,4.9552
619,90,15,교양,1.0,8.5111
620,207,93,교양,1.0,0.7048
621,34,32,전공,1.5,10.2441
622,212,74,전공,1.5,3.9071
623,164,99,전공,1.5,0.1591
624,149,77,전공,1.5,3.4601
625,293,71,교양,1.0,2.9034
626,102,44,일반,0.5,2.8049
627,155,15,전공,1.5,12.7597
628,335,85,일반,0.5,0.7515
629,86,58,교양,1.0,4.2116
630,308,52,교양,1.0,4.8032
631,84,98,일반,0.5,0.106
632,246,2,교양,1.0,9.8041
633,309,85,일반,0.5,0.7516
634,180,94,교양,1.0,0.6056
635,65,2,교양,1.0,9.8154
636,78,48,교양,1.0,5.2128
637,158,57,일반,0.5,2.1532
638,155,58,교양,1.0,4.2065
639,205,1,전공,1.5,14.8573
640,21,52,교양,1.0,4.8476
641,115,10,전공,1.5,13.513
642,245,46,교양,1.0,5.4041
643,42,36,전공,1.5,9.6357
644,5,45,전공,1.5,8.5494
645,7,25,일반,0.5,3.8213
646,45,24,일반,0.5,3.8111
647,165,30,교양,1.0,7.0061
648,240,91,전공,1.5,1.3562
649,133,21,전공,1.5,11.8613
650,96,48,교양,1.0,5.2104
651,183,37,전공,1.5,9.4582
652,107,51,전공,1.5,7.364
653,52,28,일반,0.5,3.6096
654,134,1,일반,0.5,4.9537
655,267,100,일반,0.5,0.0019
656,150,75,전공,1.5,3.76
657,89,11,전공,1.5,13.3669
658,258,19,일반,0.5,4.0519
659,214,83,전공,1.5,2.557
660,262,53,교양,1.0,4.7038
661,283,17,교양,1.0,8.3035
662,235,93,교양,1.0,0.7043
663,92,13,일반,0.5,4.3554
664,181,82,일반,0.5,0.9028
665,111,99,일반,0.5,0.0545
666,141,75,전공,1.5,3.7606
667,172,86,교양,1.0,1.4058
668,259,65,일반,0.5,1.7519
669,241,86,교양,1.0,1.4041
670,70,4,교양,1.0,9.6143
671,41,75,전공,1.5,3.7866
672,306,70,일반,0.5,1.5016
673,199,91,전공,1.5,1.3575
674,245,26,교양,1.0,7.4041
675,175,91,전공,1.5,1.3586
676,174,85,교양,1.0,1.5057
677,88,55,전공,1.5,6.767
678,34,28,전공,1.5,10.8441
679,290,19,일반,0.5,4.0517
680,149,48,교양,1.0,5.2067
681,266,25,일반,0.5,3.7519
682,55,61,일반,0.5,1.9591
683,283,64,일반,0.5,1.8018
684,181,53,교양,1.0,4.7055
685,85,67,일반,0.5,1.6559
686,263,9,교양,1.0,9.1038
687,106,43,일반,0.5,2.8547
688,329,14,전공,1.5,12.9046
689,99,50,교양,1.0,5.0101
690,302,84,교양,1.0,1.6033
691,18,31,교양,1.0,6.9555
692,169,8,일반,0.5,4.603
693,193,36,교양,1.0,6.4052
694,146,94,교양,1.0,0.6068
695,2,11,교양,1.0,9.3975
696,34,81,교양,1.0,1.9294
697,268,58,일반,0.5,2.1019
698,18,74,전공,1.5,3.9833
699,67,77,교양,1.0,2.3149
700,106,10,교양,1.0,9.0094
701,264,90,교양,1.0,1.0038
702,51,79,일반,0.5,1.0598
703,246,17,교양,1.0,8.3041
704,82,26,일반,0.5,3.7061
705,22,48,전공,1.5,7.8682
706,168,22,전공,1.5,11.7089
707,336,46,전공,1.5,8.1045
708,180,88,일반,0.5,0.6028
709,39,76,일반,0.5,1.2128
710,32,14,전공,1.5,12.9469
711,232,59,교양,1.0,4.1043
712,12,72,전공,1.5,4.3249
713,192,57,교양,1.0,4.3052
714,41,52,전공,1.5,7.2366
715,225,57,일반,0.5,2.1522
716,330,21,교양,1.0,7.903
717,16,19,교양,1.0,8.1625
718,292,69,일반,0.5,1.5517
719,94,54,교양,1.0,4.6106
720,32,10,교양,1.0,9.0312
721,71,11,전공,1.5,13.3711
722,161,10,교양,1.0,9.0062
723,60,26,일반,0.5,3.7083
724,232,86,교양,1.0,1.4043
725,85,24,교양,1.0,7.6118
726,155,31,교양,1.0,6.9065
727,190,59,교양,1.0,4.1053
728,40,41,일반,0.5,2.9625
729,127,59,일반,0.5,2.0539
730,65,84,전공,1.5,2.4231
731,41,44,전공,1.5,8.4366
732,48,31,일반,0.5,3.4604
733,71,1,교양,1.0,9.9141
734,166,97,일반,0.5,0.153
735,102,33,일반,0.5,3.3549
736,69,33,전공,1.5,10.0717
737,209,17,일반,0.5,4.1524
738,88,24,전공,1.5,11.417
739,187,30,일반,0.5,3.5027
740,13,46,교양,1.0,5.4769
741,141,17,전공,1.5,12.4606
742,309,56,교양,1.0,4.4032
743,174,90,교양,1.0,1.0057
744,94,7,교양,1.0,9.3106
745,318,18,전공,1.5,12.3047
746,303,22,교양,1.0,7.8033
747,304,29,일반,0.5,3.5516
748,28,1,전공,1.5,14.9036
749,328,10,전공,1.5,13.5046
750,90,98,전공,1.5,0.3167
751,192,12,교양,1.0,8.8052
752,183,31,교양,1.0,6.9055
753,155,89,교양,1.0,1.1065
754,176,48,교양,1.0,5.2057
755,49,34,교양,1.0,6.6204
756,291,81,교양,1.0,1.9034
757,241,79,일반,0.5,1.0521
758,214,37,일반,0.5,3.1523
759,148,48,전공,1.5,7.8101
760,237,84,일반,0.5,0.8021
761,264,65,일반,0.5,1.7519
762,179,85,전공,1.5,2.2584
763,304,27,전공,1.5,10.9549
764,146,89,일반,0.5,0.5534
765,117,50,교양,1.0,5.0085
766,303,4,일반,0.5,4.8017
767,244,17,교양,1.0,8.3041
768,33,80,전공,1.5,3.0454
769,335,0,교양,1.0,10.003
770,287,100,교양,1.0,0.0035
771,193,52,교양,1.0,4.8052
772,139,32,교양,1.0,6.8072
773,175,80,교양,1.0,2.0057
774,326,12,일반,0.5,4.4015
775,207,23,일반,0.5,3.8524
776,142,89,전공,1.5,1.6606
777,132,0,일반,0.5,5.0038
778,234,51,교양,1.0,4.9043
